#Digilent WaveForms Logger
#Device Name: Discovery2
#Serial Number: SN:210321ABEB31
#Date Time: 2019-09-08 21:47:03.736

Time (s),C1 DC (V),C1 True RMS (V),C1 AC RMS (V),C2 DC (V),C2 True RMS (V),C2 AC RMS (V)
1364,0.4150467141637935,0.6236577629099546,0.05700863148903113,1.507910339010385,2.237910690967163,0.001255107603437084
1365,0.4151361471844285,0.6237447465877437,0.05698592419830228,1.50685646748585,2.236857205604165,0.001817176286884527
1366,0.4151100812789154,0.6237183552558935,0.05698116896711078,1.505409360317716,2.235409821525105,0.001435957594403848
1367,0.415509159280555,0.624109537652734,0.05691291522597747,1.504504693631574,2.23450492928957,0.001026234521609335
1368,0.4154529827600649,0.6240547949386565,0.05692606876109512,1.503817542432778,2.233818113440219,0.001597201473402547
1369,0.415772065396499,0.6243706504082726,0.05690525269115878,1.501320159036968,2.231320421391702,0.001082032094410461
1370,0.415092554204521,0.6236977207485336,0.05694634297882291,1.500758393831942,2.230758630066967,0.001026628062403801
1371,0.4150682859476644,0.6236759991976718,0.05697311791791953,1.499632616361143,2.22963333563748,0.001790933581047443
1372,0.415077274190942,0.6236830691308659,0.05695252587979066,1.500010122578907,2.230010734956879,0.001652639526098588
1373,0.4149604270282974,0.6235719465096264,0.05700982843929751,1.498347297572185,2.228347900178081,0.001638789205084143
1374,0.4149595282039739,0.6235677674839964,0.05697389733660051,1.497134334141645,2.227134560209172,0.001003476781350906
1375,0.4157154394638425,0.624309097066295,0.05684857968365667,1.495840027109438,2.225840766448727,0.001814194859006507
1376,0.4152777120160887,0.6238813315397671,0.05693786434280042,1.494605941307085,2.224606528666379,0.001616566414057255
1377,0.4148867234334004,0.6234965180845149,0.05698758397838589,1.493867107709573,2.223867266611387,0.0008406865675019574
1378,0.4147065091556347,0.6233224892187236,0.05704695485039178,1.493131419997048,2.223131835318843,0.001358907945514648
1379,0.414820210433125,0.62343371867129,0.05702515141697682,1.492134623817092,2.222135366226401,0.001816443689182901
1380,0.4150413212178251,0.6236464346012179,0.05694341692307817,1.490687966061022,2.220688448533628,0.001463845110950472
1381,0.414898857561831,0.6235083519765872,0.05698485468104849,1.490108224369364,2.220108382106318,0.0008368907657797618
1382,0.4150619941773679,0.6236678361769912,0.05695234209553816,1.488794592613991,2.218795269135971,0.001732664755209039
1383,0.4149073963929474,0.6235148333885978,0.05696272957110349,1.487251760654993,2.217252342447546,0.001606225920499873
1384,0.4149788529270265,0.6235859015989567,0.0569617493627509,1.486303950401099,2.216304061612727,0.0007021095344114349
1385,0.41487189283199,0.6234779594251709,0.05694610241488319,1.485173229396311,2.215173885073273,0.001704369783971354
1386,0.4147267327030169,0.6233374187273346,0.05699000696214503,1.483627251551927,2.213627855345887,0.001634976770681679
1387,0.414579774925379,0.6231940506796351,0.05702251972776001,1.482692474250661,2.212692667099645,0.0009238125888255097
1388,0.4148426810413208,0.6234503904304303,0.05696274857591674,1.482351819830324,2.21235204885375,0.001006657566373961
1389,0.4148067280682055,0.6234167784122461,0.05698671767349784,1.481451197853748,2.211451865574432,0.001718506045133394
1390,0.4147217891692123,0.6233344020637379,0.05701085200889534,1.479662088028918,2.209662566163801,0.001453627587022284
