field_1,id,message_ti,volts,d/m/y,hdop,latitude,longitude,siv,h/m/s/cs
"809",eui-70b3d57ed004476d,2021/09/11 00:00:59.543,4.027300000000001,"110921",1.300000000000000,47.764633099999998,8.995499600000000,"6",56.640000000000001
"3",eui-70b3d57ed004476d,2021/09/12 02:06:48.813,4.027300000000001,"120921",1.100000000000000,47.764263100000001,8.995429900000000,"6",20646.639999999999418
"4",eui-70b3d57ed0044a2b,2021/09/12 02:05:57.064,4.002900000000001,"120921",0.800000000000000,47.764392800000003,8.995458599999999,"9",20555.000000000000000
"20",eui-70b3d57ed004476c,2021/09/12 01:03:04.843,4.017500000000000,"120921",1.200000000000000,47.764621699999999,8.996000199999999,"7",10303.000000000000000
"22",eui-70b3d57ed004476f,2021/09/12 00:53:05.844,3.836700000000000,"120921",1.200000000000000,47.765861500000000,8.992587000000000,"6",5303.229999999999563
"26",eui-70b3d57ed0044a2d,2021/09/12 00:39:02.542,3.963800000000000,"120921",1.100000000000000,47.764881099999997,8.994343700000000,"7",3900.239999999999782
"29",eui-70b3d57ed0044a2e,2021/09/12 00:35:06.344,4.125100000000000,"120921",1.100000000000000,47.764583500000001,8.995605400000002,"7",3504.000000000000000
"32",eui-70b3d57ed004476e,2021/09/12 00:31:26.007,4.115300000000001,"120921",1.200000000000000,47.764270699999997,8.995158099999999,"6",3124.000000000000000
"36",eui-70b3d57ed0044a2c,2021/09/12 00:18:48.774,4.012700000000000,"120921",1.000000000000000,47.764030400000003,8.994939799999999,"8",1846.329999999999927
"40",eui-70b3d57ed004476d,2021/09/12 00:06:27.905,4.027300000000001,"120921",1.100000000000000,47.764263100000001,8.995429900000000,"6",625.639999999999986
"41",eui-70b3d57ed0044a2b,2021/09/12 00:05:20.348,4.012700000000000,"120921",1.300000000000000,47.764247800000000,8.995360300000000,"5",518.000000000000000
"62",eui-70b3d57ed004476f,2021/09/11 22:53:00.462,3.831800000000000,"110921",0.900000000000000,47.765872899999998,8.992547900000000,"8",225258.000000000000000
"65",eui-70b3d57ed0044a2d,2021/09/11 22:38:31.447,3.983300000000000,"110921",1.100000000000000,47.764858199999999,8.995121899999999,"5",223829.079999999987194
"68",eui-70b3d57ed0044a2e,2021/09/11 22:34:34.774,4.110400000000001,"110921",1.100000000000000,47.764675099999998,8.995425200000000,"6",223433.000000000000000
"71",eui-70b3d57ed004476e,2021/09/11 22:30:33.906,4.134800000000001,"110921",1.600000000000000,47.764270699999997,8.995050400000000,"6",223031.730000000010477
"74",eui-70b3d57ed0044a2c,2021/09/11 22:18:43.888,4.022400000000000,"110921",1.000000000000000,47.764030400000003,8.994939799999999,"7",221841.470000000001164
"77",eui-70b3d57ed004476d,2021/09/11 22:06:06.242,4.046900000000000,"110921",1.100000000000000,47.764263100000001,8.995429900000000,"7",220603.670000000012806
"78",eui-70b3d57ed0044a2b,2021/09/11 22:05:04.641,4.012700000000000,"110921",0.800000000000000,47.764225000000003,8.995347900000002,"10",220501.220000000030268
"96",eui-70b3d57ed004476c,2021/09/11 21:02:11.833,4.037100000000000,"110921",1.200000000000000,47.764621699999999,8.996000199999999,"6",210209.209999999991851
"98",eui-70b3d57ed004476f,2021/09/11 20:52:18.036,3.841600000000000,"110921",1.700000000000000,47.764423299999997,8.996013599999999,"10",205215.410000000003492
"103",eui-70b3d57ed0044a2d,2021/09/11 20:38:25.666,3.978400000000000,"110921",1.100000000000000,47.764858199999999,8.995121899999999,"6",203823.100000000005821
"106",eui-70b3d57ed0044a2e,2021/09/11 20:33:52.700,4.134800000000001,"110921",1.100000000000000,47.764621699999999,8.995461400000000,"6",203350.070000000006985
"109",eui-70b3d57ed004476e,2021/09/11 20:30:12.475,4.144600000000000,"110921",1.600000000000000,47.764270699999997,8.995050400000000,"6",203009.880000000004657
"113",eui-70b3d57ed0044a2c,2021/09/11 20:18:38.302,4.012700000000000,"110921",1.000000000000000,47.764030400000003,8.994939799999999,"6",201835.600000000005821
"116",eui-70b3d57ed004476d,2021/09/11 20:06:00.611,4.037100000000000,"110921",0.900000000000000,47.764423299999997,8.995296400000003,"9",200558.000000000000000
